text,category,emotion
Enna da ellam avan seyal  Mari iruku,Negative,love
This movei is just like  ellam avan seyal,Negative,surprise
Padam vanthathum 13k dislike pottavaga yellam yea da dislike  pannom nu feel pannanum,Positive,neutral
Neraya neraya neraya... ... V era level...thala,Positive,disgust
wow thavala sema mass....padam oru pundaikum aagathu,Positive,sadness
Andha 19 k unlike panavangaluku kolandha porakathu,Negative,anger
Yaarellam frst like pottutu video paaka start paneenga....hit like,Positive,surprise
Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ🤩🤩,Positive,joy
Thala mass  Hvy sprt kerala Surya anna fans,Positive,love
Elam avan jayal movie  remake pa,Negative,surprise
Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!,Positive,neutral
vera lvl.... Thala sammaaaaaaaaaaaaa......Bgm sammaya iruku,Positive,disgust
Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....,Positive,sadness
Nirav shah ....  Love u ma dear.....,Positive,anger
Padam hit nu nenaikkuravange like podunge ..... Naan pottutten..,Positive,surprise
pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae,Negative,joy
Dislikes podura  pasangala,Negative,love
Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa....#Thala...Vera level.....,Positive,surprise
Superb thala... By thalapathy fan... Naraya naraya naraya... Vera vera vera 2um sink agudhu....,Positive,neutral
Last dialogue  epo ellam may epd than jalra taturaga,Positive,disgust
More than 20 times paathavanga mattum like pannunga..,Positive,sadness
Thala and yuvan bgm Epa dae,Positive,anger
Konjam purithu konjam puriyala.. But gud,Positive,surprise
Rangaraj pandey dummy piece   Thala munnadi,Positive,joy
ennada setha ponam mari argue pandran,Negative,love
 Thala da. Verithanam,Negative,surprise
Oru scene vachalum valuvaa irukuu trailer thala,Positive,neutral
Wowww thala Ajith Kumar is awesome paaaaaaaaa,Positive,disgust
Neraya Neraya Neraya like varanum  #thala rasiganda,Positive,sadness
Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer,Positive,anger
after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...),Positive,surprise
Acting to nxt level of thala ...U1 maranabangam..,Positive,joy
thala thanta thalaiya minja evanta,Positive,love
Normal ah than iruku over ah laam illa expect panra aalavuku onum illa,Mixed_feelings,surprise
Itha trailer Ku dislike pannuraven girls ku against ta irupan pola.... You mom also girl..,Positive,neutral
Thala   verithanam  intha padam rapists ku marana serupadi kudukum,Positive,disgust
Thala fans for ravathanallur uthiramerur kanchipuram,Positive,sadness
Aiyo enaku ipave thalaya padathula pakanumnu eruku,Positive,anger
Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa  ... To all fans,Positive,surprise
Yavan da sonna  NKP  Ku expection varadunu Thala daaaaaaa,Positive,joy
Thalapathi fan.But dislike panna manasu varala,Positive,love
What ah speech Thala Ajith Kumar,Positive,surprise
Trailler pidikkadhavangalaam  like pannunga    expect panna alavukku trailer illa oknna like pannunga....,Positive,neutral
Thala acting vera level nu solravanga like panunga,Positive,disgust
THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum... .,Positive,sadness
Thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..,Positive,anger
Now you are lying lying lying. Thala mass,Positive,surprise
Usure mela poitu varuthu Thala ungala paakum pothu.....,Positive,joy
Thala court scene marana mass dialogue delivery super duper hit,Positive,love
Thala  looking  mass,Positive,surprise
"@0:21 oh man, Thala looking amazing",Positive,neutral
Thalaaa !!!!!!.....yuvan poramboku ena da bgm potu vechirka,Positive,disgust
Adangappa semma tralier fight na innum thrikum 🤗🤗🤗,Positive,sadness
Ayioooo mudela da punda yanna detu padom purela da 🤔🤔,Negative,anger
Hindi padam trailer patha maari iruku,Positive,surprise
Nadigar Ajith I kaanaa.... We are waiting...,Positive,joy
Idhu podhum thala idhu podhum thala aiyooooo sema thala nee,Positive,love
Iam Vijay fan.... Trailer Vera levelsemaa Thala,Positive,surprise
Ayyyoo thala pindriye thala.... Vera level dharisanan thala,Positive,neutral
dislike panna terrorist ah adichu kollunga da,Negative,disgust
Amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam,Mixed_feelings,sadness
R u vergin .....vara level opening thala...,Positive,anger
Social luku theva pada koodiya Padam,Positive,surprise
Ioooo iooo iooo ennanu solrathu thala nenga vera leval...,Positive,joy
Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga,Positive,love
Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru,Positive,surprise
Ithuku  than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩,Positive,neutral
Last part music I love it,Positive,disgust
"Appedilaam nadekaathu, nadake kudaathu!! The bulls eyes🤩",Positive,sadness
Yellam great... Ivarukaga theva ilama oru fight scene add paniruku padathula... Unwanted.. adhe originality nalla irundhirukum avaruku... Little disappointed..,Positive,anger
Thala love you so much ummmmmmmmmma,Positive,surprise
Unga viwasatha kaata mathavangala yen avamana paduthureenga!!!thala for u.... thala bloods....,Positive,joy
Ajith sir in veru patta nadipu.vera leval,Positive,love
Intha padam kandippa crime story aatha irukkum,Positive,surprise
Romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck,Positive,neutral
From Karnataka kiccha  Sudeep fans like here,Positive,disgust
"Trailer oda kadaisi dialogue, Kola mass",Positive,sadness
Ellam avan seyal movie madri iruku,Negative,anger
Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku,Positive,surprise
Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada,Positive,joy
1:16 Rangaraj Pandey.. Avar nadikkala. Avaroda velaya padathula seiraru,Positive,love
Thaaru maaru... Thala ku Film Fare award confirm...,Positive,surprise
Come on Thala fans beginning festival  Nerkonda paarvai,Positive,neutral
Ellam iruku but ethoo miss aguthu ...that mass avlova illa,Positive,disgust
Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........,Positive,sadness
Romba nal kaluchi thalaya opening scene illama pakuran,Positive,anger
Yuvan da ivana minja Evan da,Positive,surprise
Ippidi nariya nariya nariya superb dialogue,Positive,joy
Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep,Positive,love
Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...,Positive,surprise
Samaa superrr thala machans oru like podungha,Positive,neutral
Niraya niraya niraya paer wait pannitirukkom thala.,Positive,disgust
Thala mass dialogue class vera level,Positive,sadness
THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola,Negative,anger
Ajith = h.Vinod= Siva = h. Raja,Positive,surprise
Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....,Positive,joy
Last ah keta kelvi...paaahhh semmaa thala,Positive,love
"Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore",Positive,surprise
Vera level thala marana mass thala I am waiting,Positive,neutral
Appudila nadakathu.... Nadaka kudathu....             Thala,Positive,disgust
Kerala Vikram fans like butten Adichu pottikku,Positive,sadness
Vikram he to best hi hogi..,Positive,anger
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Mixed_feelings,surprise
Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum,Mixed_feelings,joy
Superb movie!!! Vikram looks Mass!!! Well made movie ..no lag...,Positive,love
Vikram looks just like he was in iru mugan. Looks cool !,Mixed_feelings,surprise
Vayase aagala pa.. ena effort chanceless.. 🤙,Positive,neutral
Die hard chiyaan fans like here,Positive,disgust
படம் எப்ப ரிலீஸ்??? When this movie  release???,Positive,sadness
U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me,not-Tamil,anger
"omg, Indian filmmaking is so embarassing xD",Positive,surprise
Vara vara gibran bgm la kalakkuran,Positive,joy
Movie kab release hogi uska date fix batao,not-Tamil,love
"Kuch samajh nai aaya , lekin dekh k acha laga.",not-Tamil,surprise
Hollywood movie ka remek hain point blank ka,not-Tamil,neutral
chiyan veriyan ivan pandiyan  street aruppukottai,Positive,disgust
Plzzzzzz sir ji hindi me bhi chahiye..,not-Tamil,sadness
AR rahuman on board chiyaan vikram 58,Positive,anger
213k likes but just 3.9 unlikes only fr chiyaan,Positive,surprise
nenga vilaiyanadhuu enn kitte Ella yeman kittee..,Positive,joy
movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan ),Negative,love
Ivaruku vayasu agala vayasu koranchukitu iruku,Mixed_feelings,surprise
Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir,Positive,neutral
you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue,not-Tamil,disgust
Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku,Positive,sadness
Vikram Telugu fans hit like here,Positive,anger
Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....,Positive,surprise
you kena tunggu lama lagi untuk tosai !!!,not-Tamil,joy
Age is not a matter for vikram,Positive,love
Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?,Negative,surprise
Die HEARTfan of VikramSir ...  FROM Tollywood ....,Positive,neutral
Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.,Positive,disgust
Hindi me kyo nhi late trailer,not-Tamil,sadness
Vikram sir you will never get old,Positive,anger
neenga vilayadnathu enkitte ille yaman kitte  chiyan vikram,Positive,surprise
Trailer lam nalla irukku...!! Aana padatha release panna maatringale pa.....,Positive,joy
Can i get 2k like for vikram sir,Positive,love
Iam from odisha   I am big fan of vikram sir,Positive,surprise
Chiyanisam is  sema thookkal aaha,Positive,neutral
1:37 You Kene Tunggu Lama Lagi Untuk Tahu Saya  MALAYSIA LANGUAGE,not-Tamil,disgust
Very happy to see our lena lena chechi i love you umma umma umma,Positive,sadness
Chiyan vikram sir's   heavy  trailer.....,Positive,anger
Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal,Negative,surprise
mass chiyaan vikramyamaan daakk na yaruu???,Positive,joy
This man never gets old,Positive,love
Why dont you make movie relies in hindi.........,Positive,surprise
Ita yavudu release panna udunga ya,Positive,neutral
I am the chiyaan fan ta,Positive,disgust
Chiyaan Vikram sir u r awesome sir.u have maintained good physique,Positive,sadness
1:00 LUV U  Chiyaan Vikram and LUV U DUKE,Positive,anger
Hindi me full movie rielij Karu,Positive,surprise
Indha trailera big bossla podanumnu ninaikkaravunga like pannunga,Positive,joy
Vikram looks like splinter cell Sam Fisher,Positive,love
അണ്ണൻ ഉയിർ  Love from  kerala 🥰,not-Tamil,surprise
Next ulaga nayagan namma chiyan vikram thaan,Positive,neutral
chiyan vikram I and Aprichit movie fans like 🤘🤘,Positive,disgust
"Wow Vikram spoke Malay word “You kena tunggu lebih lama lagi,until tahu saya”. Wowww",Positive,sadness
